"campaign_id","campaign_name","placement_id","placement_name","ad_id","ad_name"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176783","15s// IPR// TM Select // Mobile","3185040625","New_Connect_OLV_15sec_400"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176783","15s// IPR// TM Select // Mobile","3182678927","UltraThins_15_Connect_400kps_Package"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176783","15s// IPR// TM Select // Mobile","3182681601","Tampons_15_Connect_400kps_Package"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176783","15s// IPR// TM Select // Mobile","3042028931","Connect_OLV 15_Mobile Desktop_Premium"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176783","15s// IPR// TM Select // Mobile","3180330259","Connect_OLV 15_Mobile_ Premium Product V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176783","15s// IPR// TM Select // Mobile","3180268019","Connect_OLV 15_Mobile_ Premium Product V1"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176795","15s//  IPR//  TM Select // Desktop","3417809521","Connect_OLV 15_Mobile Desktop_Premium Topical V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176795","15s//  IPR//  TM Select // Desktop","3180330263","Connect_OLV 15_Desktop_ Premium Product V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176795","15s//  IPR//  TM Select // Desktop","3042028927","Connect_OLV 15_Mobile Desktop_Premium"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1187213","15s// IPR// BrandPoint F13-24 // Desktop","3417806071","Connect_OLV 15_Mobile Desktop_Exchange Topical V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1187213","15s// IPR// BrandPoint F13-24 // Desktop","3042028925","Connect_OLV 15_Mobile Desktop_Exchange"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176805","15s//  IPR// TubeMogul: Female Skewed Sites  // Desktop","3417806071","Connect_OLV 15_Mobile Desktop_Exchange Topical V2"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1176805","15s//  IPR// TubeMogul: Female Skewed Sites  // Desktop","3042028925","Connect_OLV 15_Mobile Desktop_Exchange"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1249998","15s// IPR// Gameloft // Mobile // Females 13-24","3339779482","UltraThins_15_Connect_400kps_Package"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1249998","15s// IPR// Gameloft // Mobile // Females 13-24","3339765264","New_Connect_OLV_15sec_400"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1249998","15s// IPR// Gameloft // Mobile // Females 13-24","3339752971","UltraThins_15_Connect_400kps_Package"
"598599","UBK// Core // Burst One (31/07/16 - 31/12/16) //MDSKCA0008","1249998","15s// IPR// Gameloft // Mobile // Females 13-24","3180268019","Connect_OLV 15_Mobile_ Premium Product V1"
